NameDescription,PRODUCT CATEGORY,Cost,Sales Price,Jan 2021,Feb 2021,Mar 2021,Apr 2021,May 2021,Jun 2021,Jul 2021,Aug 2021,Sept 2021,Oct 2021,Nov 2021,Dec 2021,TOTAL,,
GL03 (GL03 Accesory/Big),ACCESSORIES & DECOR, $	0.50 , $	0.83 , 	-   , 	-   , 	-   , 	-   , 	2.00 , 	4.00 , 	-   , 	1.00 , 	2.00 , 	-   , 	1.00 , 	11.00 , 	21.00 ,,
GL08 (GL08 Accessories ),ACCESSORIES & DECOR, $	0.50 , $	0.83 , 	(1.00), 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	(1.00),,
GL10 (GL10 Accessories),ACCESSORIES & DECOR, $	0.50 , $	0.83 , 	(1.00), 	-   , 	-   , 	-   , 	5.00 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	3.00 , 	7.00 ,,
GL11 (GL11 Accessories),ACCESSORIES & DECOR, $	0.50 , $	0.83 , 	(23.63), 	-   , 	-   , 	1.00 , 	7.00 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	3.00 , 	(12.63),,
GL14 (GL14 ACCESSORIES),ACCESSORIES & DECOR, $	1.00 , $	1.65 , 	1.00 , 	-   , 	2.00 , 	1.00 , 	7.00 , 	1.00 , 	1.00 , 	2.00 , 	2.00 , 	-   , 	1.00 , 	6.00 , 	24.00 ,,
KPF01 (KPF01/ TABLEWARE RACK SET 2 LAYERS ),DISH & SALOON RACK, $	12.00 , $	19.80 , 	5.00 , 	47.00 , 	40.00 , 	15.00 , 	-   , 	-   , 	-   , 	(15.00), 	-   , 	-   , 	-   , 	2.00 , 	94.00 ,,
YH0634 (YH0634 IRON FRUIT BASKET 3 LAYERS ),DISH & SALOON RACK, $	15.00 , $	24.75 , 	3.00 , 	1.00 , 	3.00 , 	-   , 	2.00 , 	-   , 	2.00 , 	-   , 	-   , 	-   , 	-   , 	-   , 	11.00 ,,
ZFK064 (ZFK064 DISH RACK),DISH & SALOON RACK, $	9.00 , $	14.85 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	3.00 , 	3.00 , 	6.00 ,,
BL1390 (BL1390-SALOON RACK),DISH & SALOON RACK, $	10.00 , $	16.50 , 	198.00 , 	26.00 , 	83.00 , 	77.00 , 	-   , 	-   , 	1.00 , 	-   , 	-   , 	-   , 	-   , 	-   , 	385.00 ,,
HF-5596 (HF-5596 SALOON RACK SQUARE ),DISH & SALOON RACK, $	10.00 , $	16.50 , 	5.00 , 	-   , 	(0.50), 	2.00 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	6.50 ,,
SR-203 (SR-203  SALOON RACK,DISH & SALOON RACK, $	9.00 , $	14.85 , 	5.00 , 	1.00 , 	1.00 , 	1.00 , 	-   , 	-   , 	2.00 , 	-   , 	-   , 	-   , 	14.83 , 	-   , 	24.83 ,,
SR-801 (SR-801 SALOON RACK ),DISH & SALOON RACK, $	11.00 , $	18.15 , 	118.00 , 	16.00 , 	100.00 , 	62.00 , 	-   , 	-   , 	20.00 , 	200.00 , 	52.00 , 	30.00 , 	12.00 , 	1.00 , 	611.00 ,,
KEROSENE  641 (KEROSENE  641),STOVE, $	17.00 , $	28.05 , 	525.34 , 	192.00 , 	240.00 , 	95.00 , 	(5.00), 	-   , 	-   , 	318.00 , 	91.00 , 	420.00 , 	799.00 , 	12.00 ,,,
BL0677 (BL0677  ENAMEL  BUCKET(30CM)),BUCKET, $	3.00 , $	4.65 , 	20.00 , 	35.00 , 	13.57 , 	5.00 , 	15.00 , 	10.00 , 	40.00 , 	10.00 , 	25.00 , 	10.00 , 	65.00 , 	-   , 	248.57 ,,
